project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
attila.farago.hu/EV3TreeVisualizer,attila.farago.hu,C#,true,false,false,3,true,true,true,false,53
csfalcao/gitlabsite,csfalcao,JavaScript,true,false,false,1,false,false,true,false,11
heatray/innovation,heatray,CSS,true,false,false,1,false,false,true,false,14
IPMsim/Virtual-IPM,IPMsim,Python,true,true,false,1,false,false,true,false,25
brett.timperman/ab-reference,brett.timperman,Shell,true,false,false,2,true,false,true,false,30
4geit/blog,4geit,JavaScript,true,false,false,2,false,true,true,false,28
samba/webapptitude,samba,Python,true,true,false,4,false,true,true,false,76
nkovacs/docker_test,nkovacs,,true,false,false,1,false,true,false,false,15
gitlab-examples/lfs,gitlab-examples,,true,false,false,1,false,true,false,false,16
barkerja/Hal,barkerja,Ruby,true,false,false,1,false,true,false,false,12
bahmutov/cypress-example-kitchensink,bahmutov,HTML,true,false,false,2,true,true,false,false,106
